ID,Аты,Автор,Бағасы,Бет саны,Категория,Мұқаба,Толығырақ,URL
14,Гауһар тас,Дулат Исабеков,1200 тг,102,Қазақ әдебиеті,Жұмсақ,"Дулат Исабековтың бұл повесі қазақтың халық әнімен аттас. Бірақ аты ғана ұқсамайды, бар болмысымен, сарынымен де салған әнге ұқсайды. Бір-біріне қарама-қайшы мінездердің бір шаңырақ астына жиналуынан пайда болған жағдаяттар баяндалып, сол аралықтағы көңілдер, сыртқа шыққан-шықпаған сезімдер бірте-бірте шашақталып, оқырман назарына ақырын-ақырын ілініп, тек соңында ғана толығымен айқара ашылады. Кітап жасөспірімдер мен ересектерге арналады.",https://qasymkitap.kz/book/14/
15,Арпалыс,Александр Бек,4000 тг,914,Әлем әдебиеті,Жұмсақ,"Бұл шығарманың басты кейіпкерлері — Панфилов дивизиясындағы жеке батальонның жауынгерлері. Батальонды ұлты қазақ, комбат — Бауыржан Момышұлы басқарады. Бұрынғы артеллерист, батарея командирі, жаяу әскерлер батальонын басқарып көрмеген Бауыржан үшін 1941-ші жыл әскери шеберлігін шыңдау мектебі болды. Оған өз сарбаздарының тағдырын шешуге, жан-жақтан жиналған әр алуан адамдарды өз ырқына бағындырып, бәрінің басын біріктіріп, жұмылған жұдырықтай етуіне тура келеді. Қорғана жүріп, тайсалмай шайқасуы нәтижесінде Момышұлының батальоны Панфилов дивизиясындағы резервтік күшке айналады және жаудың күш-қуатын мейлінше әлсіретіп, оның Волоколамск ауданынан Мәскеуге шабуылдауын тежей тұруға жауынгерлік тапсырма алады. Адамдар шығыны мен майдандағы күрделі ахуалға қарамастан, батальон берілген тапсырманы абыроймен атқарып шығады.",https://qasymkitap.kz/book/15/
16,Көксерек,Мұхтар Әуезов,1200 тг,92,Қазақ әдебиеті,Жұмсақ,"Мұхтар Әуезовтің трагедиялық сарында жазылған осынау шығармалары оқыған адамның жанына да, санасына да әсер етеді. Өмірдің суық та қатал бейнесін бүркемелей, әрі әсірелемей бере білген «Көксерек», «Қараш-қараш оқиғасы», «Жетім», «Қорғансыздың күні» кермек дәм болып таңдайда қалады, сол арқылы мейірім деген қасиеттің қаншалық қымбат екенін мықтап ұқтырады да.",https://qasymkitap.kz/book/16/
19,Балалық шаққа саяхат,Бердібек Соқпақбаев,2300 тг,Не найдено,Қазақ әдебиеті,Не найдено,"Қазақстан тарихындағы ең қиын кезге — XX ғасырдың орта тұсына балалық шағы сәйкес келген жазушылар көзін аша сала көргенін өмірі ұмыта алмай кетті. Бердібек Соқпақбаев ат жалын тартып мінгенше аштықты, репрессияны, соғысты көріп үлгерген адам. Кейін өзін-өзі мәжбүрлей отырып деуге болатын шығар, — ештеңені жасырма соның бәрін жазып шықты. Қолыңыздағы повесть арқылы жазушы өзінің балалық шағы туралы тәтті естеліктері мен кермек татитын әсерлерін жымдастыра өріп, шерін тарқатып кеткен.",https://qasymkitap.kz/book/19/
20,Балалық шақ,Шыңғыс Айтматов,1800 тг,Не найдено,Қазақ әдебиеті,Не найдено,"Шыңғыс Айтматовтың шығармалары қазақ тіліне уақытында әрі сәтімен аударылып отырған. Оның алғаш рет көзге түскен туындысы «Жәмила» да Мұхтар Әуезовтің қолдауымен сыйлыққа ілінді, содан бері аудармашыларымыздың назарында болып, бертінде жазған «Таулар құлағанда», «Кассандра таңбасына» дейін қазақшаланды.Бірақ Айтматовтың атынан шыққан бір кітап аударылмай қалған екен. Өйткені ол Айтматовтың көзі тірісінде қағазға түспей қалған кітап. Яғни жазушының ауызша айтып берген, кассетада жазылып қалған әңгімелері. Еуропада жүрген кезінде өзінің шығармаларын неміс тіліне аударған аудармашысы Фридрих Хитцерге бала кезі туралы ұзағынан әңгімелеген екен. Шыңғыс Айтматов дүние салған соң жары Мәрия мен әңгімені үнтаспаға түсірген аудармашы Фридрих екеуі қағазға түсіріп, алдымен неміс тілінде, кейін қырғыз тілінде кітап етіп шығарған. Айтматовты өз ұлындай көретін қазақ елі ізінше қазақшаға тәржімалаған.",https://qasymkitap.kz/book/20/
21,Үйтілген байпақ,Балтабай Әділов,1400 тг,121,Қазақ әдебиеті,Жұмсақ,"Балтабай Әділов - Қарақалпақстанда туып-өскен қандасымыз. 1993 жылы Қазақстанға көшіп келіп, балалар басылымында қызмет істеген. Кішкентай достарына арнап жазған әңгімелеріне “Әділ Балта” деп қол қойып, сол атпен көпшіліке танылған.Тоқсаныншы жылдардың ортасынан бастап екі мыңыншы жылдардың аяғына дейінгі аралықта балаларға арналған газет-журналдарды оқып өскен, бүгінде есейіп кеткен оқырман Әділ Балта деген есімді жақсы біледі. “Ай сайын келетін басылымды қолға алған бойда, парақтап отырып Әділ Балтаның жазғанын тауып алып, оқып шыққанша асығушы едік” деп еске алатындар көп.Бұл - Әділ Балтаның балдырғандарға арнаған әңгімелерін бір жерге жинақтаған бірінші кітап.",https://qasymkitap.kz/book/21/
22,Ұшқан ұя,Бауыржан Момышұлы,2700 тг,301,Қазақ әдебиеті,Қатты,"Батырлығымен майданда атой салып, ақылымен жоғары шенділерді сүйсіндірген , турашылдығымен кім-кімді болса да сескендірген Бауыржан Момышұлы қолыңыздағы кітапта өзінің балалық шағын суреттейді. Көшпелі өмірдің соңында туғанын, ол кездің қазақтарының танымы, әдеті, мінезі қандай болғанын жазады. Оқып отырып, сондай ортадан Бауыржандай ұлдың шығуы заңды да шығар деп қаласыз. Жаңа үкімет орнатқан талаптардың кесірінен ол құндылықтар әлсіреп, жоғалып, ұмытылып кеткенін ойлап қынжыласыз да...Автор өзі : «Ұшқан ұяның» шын авторы мен емес. Ол кім десең, қазақшалап айтайын, «Ұяда нені көрсең, ұшқанда соны ілесің, оның авторы - сол. «Ұшқан ұяның авторы - менің ортам, сондағы кейіпкерлер», - деген екен. Ендеше, Бауыржанды Бауыржан етіп шығарған ортамен танысып көрелік.",https://qasymkitap.kz/book/22/
23,Тоғыз құйрықты ақ түлкі,Ертегілер,2700 тг,371,Балалар әдебиеті,Жұмсақ,"Баланың ақыл-ойын, қиялын ұштап, эстетикалық сезімін дамытып, биік талғамын қалыптастыруға көмектесетін құралдың бірі – ертегі. Ертегі қиял элементтері мен таңғажайып оқиғалар араласқан, есте жоқ ескі заманның әңгімесі десек те, ол әр халықтың тыныс-тіршілігінен, қоғамдық құрылысынан, тарихынан хабар береді. Сонымен бірге ертегі балалардың бойына адамгершілік, еңбекқорлық, батырлық секілді қасиеттерді дарытып, мінез-құлқын тәрбиелеуге сеп болады.Белгілі әдебиетші, қазақ телевизиясына да елеулі еңбек сіңірген Ғалым Доскен аударған әлем халықтарының ертегілері түрлі өнерпаздардың тағылымды өмірінен, әртүрлі кәсіп пен өнер түрінен хабардар етіп, соларды үйренуге қызықтырады. Сондай-ақ кішкентай балдырғанды да , ересек оқырманды да дүниенің қыры мен сырын ұғып-білуге, әлем халықтарының болмысымен, ерекшелігімен танысуға жетелеп, дүниетанымының кеңеюіне әсер етеді.",https://qasymkitap.kz/book/23/
24,Чиновниктің ажалы,Антон Чехов,1800 тг,202,Әлем әдебиеті,Жұмсақ,"Чехов өзгелерге жаны ашып тұратын, үнемі еңбектеніп, iс бітіріп жүретін адам ретінде замандастарының есінде қалыпты. Қиындыққа кездессе мойымаған, көрген азабын ешкімге білдірмеген. Ал өзгенің қасіретіне өзін ортақ сезінген.Адам баласына деген шексіз махаббатын өзінің дүниедей кең жүрегіне сыйғыза білген жазушы сол адамдарды тереңнен түсінетін қабілетке де ие болған. Өзі араласқан, аз ғана тіл қатысқан, сыртынан бақылаған, тіпті бір көріп қалған кісілерін де тани қойып, шығармашылығына арқау ете білген.«Чиновниктің ажалы» — соның бір көрінісі.",https://qasymkitap.kz/book/24/
25,Балаларға арналған әңгімелер,Лев Толстой,1600 тг,98,Балалар әдебиеті,Қатты,"Толстой өзінің ақсүйек болмысына қарамас тан , қарапайым шаруа балаларын оқытуды қолға алған адам . Ондай әрекет ол кез үшін тосын іс еді . Біздің Ыбырай Алтынсарин секілді , балалар оқитын хрестоматиялық оқулықты да өзі құрастырған . Оны да тек мәтін жиынтығы қылмай , барынша тәлім беретіндей етіп жасауға тырысқан . Бұнда көне грек мысалдарынан бастап жазушының өзі естіп - білген оқиғаларға дейін кездесе береді . Келешекте кітап оқуды өмір бойы әдет қылатын балдырған үшін « Балаларға арналған әңгімелер » Толстоймен танысудың тамаша мүмкіндігі.",https://qasymkitap.kz/book/25/
26,"Махаббат, қызық мол жылдар",Әзілхан Нұршайықов,2500 тг,412,Қазақ әдебиеті,Жұмсақ,"«Махаббат, қызық мол жылдар» романы жарияланған кезінен бастап кітап сөрелерінен түспей келеді. Жоғары мектеп оқушылары мен студенттер үшін бұл роман жақсы мен жаманның, адалдық пен арамдықтың ара жігін ажыратып беретін, үлкен өмірге дайындайтын хрестоматиялық оқулық іспетті. Кітап жастар мен ересектерге арналады.",https://qasymkitap.kz/book/26/
27,Жекпе-жек,Бердібек Соқпақбаев,2300 тг,329,Қазақ әдебиеті,Жұмсақ,"Қарағайдың қарсы біткен бұтағындай болмысы бар Бердібек Соқпақбаев жас оқырманның бойындағы жігерді жанып, күш бітіретіндей шығарма жазып кеткен, ол «Жекпе-жек ». Бұрынғы атауы «Он алты жасар чемпион». Автор өзі батыл да тәуекелшіл, шымыр да епті адамтұғын, бірақ заманның қиын кезінде өскен соң спортпен айналысатын мүмкіндігі болмаған. Оны біз «Балалық шаққа саяхат» повесінен білеміз. Жазушының осы арманы қолыңыздағы кітап арқылы орындалғандай көрінеді. Әрі қоғамды жақсарту үшін осындай да істер жасауға болады, күресуге болады деген ишарасы да анық байқалып отырады. Ол да болса Бердібектің іште жатқан үлкен бұлқынысының көрінісі болса керек.",https://qasymkitap.kz/book/27/
28,Ақиқат пен аңыз,Әзілхан Нұршайықов,3900 тг,684,Қазақ әдебиеті,Жұмсақ,"Әзілхан Нұршайықов әуелде бірер беттік мерекелік мақала әзірлеймін деген мақсатпен ғана қарт батыр – Бауыржан Момышұлына барыпты. Бір әңгімеден екінші әңгімеге ынтығып, суыртпақтай жүріп, ақыр аяғында онысы үлкен романға айналып кеткен. Бұл – Момышұлының өзінің қаламынан шыққан «Ұшқан ұяның» жалғасы іспеттес. Қанмен берілген өрлік, тәрбиемен келген даналық – бұл кітаптың да өне бойынан сезіліп тұрады. «Өз-өзіңді жаттай көр, жат жанынан түңілсін» деген сөздің астары Бауыржан Момышұлының болмысын таныған адам үшін ашыла түседі.",https://qasymkitap.kz/book/28/
29,Қажымұқан,Қалмақан Әбдіқадыров,2500 тг,307,Қазақ әдебиеті,Жұмсақ,"Жаратылысынан күшті болған, оған өзінің қайсар мінезі қосылып, үнемі алға ұмтыла бергенінің арқасында Әлемге танылып, талай мықтылардың жауырынын жер иіскеттірген әйгілі палуан Қажымұқан Мұңайтпасов туралы шығарма. Авторы - Қажымұқанның өз аузынан 23 күн бойы бар оқиғасын арнайы тыңдап алған, қазақтың көрнекті жазушысы - Қалмақан Әбдіқадыров.",https://qasymkitap.kz/book/29/
30,Арктур - құмай тазы,Юрий Казаков,1600 тг,124,Әлем әдебиеті,Жұмсақ,"Юрий Казаков – көпшілік жаппай оқитын жазушылардың қатарынан ешқашан көрінген емес. Сол үшін де оның атын жалпы жұрт біле бермейді. Есесіне, қолына қалам ұстайтын қауым мен аса талғампаз оқырмандардың арасында зор беделге ие. Табиғаттың әр құбылысын, әрбір елеусіз өзгерісін сезе білетін, адам баласының жан-дүниесіндегі қатпарларды байқай білетін, тіпті жан-жануар, аң мен құстың ішкі әлеміне үңіле білетін жазушының қазақшаға аударылған кейбір әңгімелерін назарларыңызға ұсынып отырмыз.",https://qasymkitap.kz/book/30/
31,"Арылу, Өмір жайында",Лев Толстой,2700 тг,364,Әлем әдебиеті,Жұмсақ,"Адамзатқа ойшыл жазушы ретінде танылған Лев Толстой, көркем шығарма арқылы ғана емес, осылай ой-толғам арқылы да оқырманымен тілдескен. Әу баста газетке мақала сериясы ретінде жазылған дүние кейін «Өмір жайлы» деген кітапқа айналған. Екінші шығармасы – «Арылу». Көпшілікке белгілі бұл шығармасы жеңіл оқылады, сөйте тұра ойға, ізденіске жетелейді. Кітап көпшілік оқырманға арналады.",https://qasymkitap.kz/book/31/
32,Қоңыр күз еді...,Қалихан Ысқақ,1200 тг,78,Қазақ әдебиеті,Жұмсақ,"Әдебиетсүйер қауым жазушы Қалихан Ысқақты оның «Қоңыр күз еді» повесі арқылы таныды. Қаламгерді биікке көтерген де осы туындысы болатын. Өмір өрнектерін кең құлашты суреттеп, адам жанын қоңыр мұңға бөлейтін оның өзге де шығармалары қай заманда да үлкен сұранысқа ие. Жинаққа жазушының таңдаулы повесть-әңгімелері еніп отыр. Кітап көпшілік оқырман қауымға арналады.",https://qasymkitap.kz/book/32/
33,Тортай мінер ақ боз ат,Оралхан Бөкей,1400 тг,147,Қазақ әдебиеті,Жұмсақ,"Оралхан Бөкейдің «Ауыл хикаялары» деп аталатын осынау әңгімелер циклі – өзінің асқақ та нәзік болмысына жасырынған шынайы сағынышының ескерткішіндей. Оралхан Бөкей жазушы болып танылғаннан былайғы уақытта қолына қалам алған жастардың ішінде осы әңгімелерді оқымағаны жоқ, тіпті еліктемегені де жоққа тән. Сезімін қаласа іркіп, қаласа төгіп, басқа жазушылар ұстанатын ережелерді ескермей өте шығып, батыл жаза беретін жазушы сол қасиеттерімен - ақ оқырманына етене жақын.",https://qasymkitap.kz/book/33/
34,Ай мен Айша,Шерхан Мұртаза,4100 тг,682,Қазақ әдебиеті,Не найдено,"Мылтықсыз майданның батырына айналған Шерхан Мұртазаның ""Ай мен Айшасы"" талайды таңдандырған шығармалардың бірі. Шығармаға арқау болған жазушының балалық шағы болса,ал бас кейіпкері-анасы Айша. Айша ананың жарының аманаты-балаларын жеткізу жолында кездескен қиындықтарды қалай еңсергенін,жігерін жанып тұрып қалай алға ұмтылғанын оқи отырып,күйінесіз де,сүйінесіз. Алыптың анадан туатынын сөзсіз мойындайсыз. Шерхан болмысының өрлігі мен биіктігінің сырын түйсінесіз. Кітап көпшілік оқырман қауымға арналады.",https://qasymkitap.kz/book/34/
35,"Қош бол, Гүлсары!",Шыңғыс Айтматов,2500 тг,254,Әлем әдебиеті,Жұмсақ,"Адам мен жылқының тіршілігін сабақтастыра суреттеген Қош бол, Гүлсары! повесі Шыңғыс Айтматовты жаңа қырынан көрсеткен-ді. Қарапайым шаруа,тірлігінде биікке ұмтылып көрмеген Танабайдың өмірі мен оның серігі-- Гүлсарының бүкіл тіршілігінің көркем суретін жасай отырып, жазушы өз ұлтының ерекшелігін,болмысын күллі әлемге таныта алды. Тіпті адам мен жылқы арасында нәзік байланыс бар екенін дәлелдегендей де. Абай мен жылқының тағдыры, жан ауруы арқау болған бұл повесті оқи отырып, бір туған қазақ-қырғыз жұртының дәл осы жануарды бекерден-бекер қастер тұтпайтынын ұғынасыз. Кітап көпшілік оқырман қауымға арналады.",https://qasymkitap.kz/book/35/
36,"Арыстан, мен, виолончель және қасапхана",Марат Қабанбай,2500 тг,275,Қазақ әдебиеті,Жұмсақ,"Марат Қабанбай шығармаларын ересек балаларға арнап жазса да, үлкен тебіреніссіз, қиналыссыз қолына қалам алмаған қаламгер. Жазуы әдеттегі көпшілікке үйреншікті болған баяндаудан, кейіпкерлерді сөйлету үлгілерінен бөлектеу, сондықтан да болар, тартымды туындылары оқырмандарын бейжай қалдырмайды.Жинаққа жазушының мақтаулы шығармаларының бірсыпырасы еніп отыр.",https://qasymkitap.kz/book/36/
37,Мюнхаузеннің басынан кешкендері,Эрих Распе,1400 тг,105,Әлем әдебиеті,Жұмсақ,"Тыңдаушыларын алдамай, өтірік екенін сездіре тұра, оқиғаларын қиюластырып, жымын білдірмей небір өтіріктерді қызық үшін құрап айту өнері – қай халықта да болғанға ұқсайды. Қазақтың «Қырық өтірігіндегі» Тазша бала тапқыр, логикасы мықты кейіпкер ретінде көрінде, немістің ауызша әңгімелеріндегі, кейін Эрих Распе кітап етіп жазған Барон Мюнхаузен де сондай кейіпкер. Кітап көпшілік оқырманға арналады.",https://qasymkitap.kz/book/37/
38,Жиһангез Тити,Марат Қабанбай,2900 тг,394,Қазақ әдебиеті,Жұмсақ,"Балаға да, үлкенге де сырлас болуға жарайтын, жазатын нәрсесін жан дүниесінен өткізіп барып, тәптіштеп баяндайтын, жазуға шын берілген жазушының бірі – Марат Қабанбай. Қанық бояу, оқыс суреттеу, уақыт өткен сайын жадымызда көмескіленіп бара жатқан көшпелі сана – бәрі де бұл кісінің шығармаларында тұнып тұр. Насихат пен көптің пікіріне қарамай, нағыз асылды іздеген оқырман үшін үлкен олжа болатыны да сондықтан.",https://qasymkitap.kz/book/38/
39,Аяжан,Бердібек Соқпақбаев,1200 тг,86,Балалар әдебиеті,Жұмсақ,"Үлкен адам бола тұра, баланың жан дүниесін түсіне білу, оны көркем шығарма арқылы жеткізе білу әр жазушыға бұйыра бермейтін қабілет. Ондай қаламгерлерді шағын топ десек, Бердібек Соқпақбаев сол топтың басында тұр. Ол кісі балалар басылымдарында жұмыс істей жүріп, кішкентай оқырмандарға арнап әңгіме, повестер жазған. Сол жазғандары көп болмаса да, кейінгі жас жазушылар үшін үлгіге, оқырман үшін байлыққа айналды.",https://qasymkitap.kz/book/39/
40,Федосевна,Иван Бунин,1400 тг,112,Әлем әдебиеті,Жұмсақ,"Иван Бунин – Нобель сыйлығын ең бірінші боп иемденген орыс қаламгері. Соған қарамастан оның кітаптарын Ресейде басуға ұзақ уақыт бойы тыйым салады. Орыс қоғамы мен саясатының кемшіліктерін ашық суреттеген оның шығармалары сол кезеңнің цензурасынан өтпейді.Оның шағын әңгімелерінен тек арып - ашқан орыс қоғамының кескін - келбетін ғана емес, күллі адамзатқа тән мұң мен мұқтаждықты танисыз. Кітап атауына арқау болған «Федосевна» әңгімесі де адам жүрегінде сөніп бара жатқан мейірім туралы ойландырмай қоймайды. Кітап көпшілік оқырман қауымға арналады.",https://qasymkitap.kz/book/40/
41,Көкпар,Тәкен Әлімқұлов,1600 тг,131,Қазақ әдебиеті,Жұмсақ,"Ұлттық бояуы қанық жазушы Тәкен Әлімқұловтың жылқы туралы, қаршыға туралы, қазақтың атқұмар, саятшыл мінезі туралы әңгімелері осы кітапқа топтастырылған. Сондай қасиетке ие қазіргі оқырман үшін таптырмас қазына.",https://qasymkitap.kz/book/41/
42,Шегірен Былғары,Оноре де  Бальзак,2900 тг,458,Әлем әдебиеті,Жұмсақ,"Бальзактың ""Шегірен былғарысы"" - терең пәлсапа мен фантастикаға құрылған. Кедейліктен құтылуды көксеген кейіпкер Рафаэльдің ойда жоқта шегірен былғарының бір бөлшегін алып, ен байлыққа кенеліп, өмірінің мүлде өзге арнаға ауысуы қай оқырманды болмасын қызықтырмай қоймасы анық. Романды өткен ғасырда жазушы Хасен Өзденбаев орыс тілінен аударып, кейін аудармашы-ғалым Жұмағали Ысмағұлов тағы өңдеп шығады. Назарларыңызға осы нұсқаны ұсынып отырмыз.",https://qasymkitap.kz/book/42/
43,Телқоңыр,Тәкен Әлімқұлов,1600 тг,138,Қазақ әдебиеті,Жұмсақ,"Исі қазақ үшін күй өнерінің орны бөлек. Онда даланың үні,ғасырлардың сыры бар. Ал жазушы Тәкен шығармаларында сол күйлердің туу тарихы мен күйшілердің өмір тарихының көркем баяны бар. ""Телқоңыр""- әйгілі күйші Сүгірдің өмірінен бір үзік сыр шертіп, оқырманға қос ішектен күмбірлей шығар күйдің өн бойында адамның жан азабы мен қайғысы бар екенін айшықтап беретін көркем бір әңгіме. Жинаққа қаламгердің бұдан өзге де таңдаулы әңгімелері топтастырылып отыр. Кітап әдебиетсүйер қауымға арналады.",https://qasymkitap.kz/book/43/
44,Шыңғыс хан,Василий Ян,3900 тг,552,Әлем әдебиеті,Жұмсақ,"Василий Янның қолыңыздағы кітабы – Шыңғыс хан туралы жазылған романдардың ішіндегі шоқтығы биігі. Жазушы Мұхтар Мағауин бала күнінде осы романды оқып, ерекше әсерленгені, тарихқа деген көзқарасы қалыптасқаны туралы жазады.Бұл кітап тарихи деректерді молынан пайдалануымен де құнды. Шыңғыс хан жорығымен қатар, Оңтүстік Азия халықтары мен орыс халқының тұрмыс - тіршілігі, соғыс өнері шебер тілмен баяндалған. Майдан даласындағы шайқастар, хан сарайларындағы тартыстар, тарихи тұлғалардың қым-қиғаш мінездері кітаптың салмағын арттырады.",https://qasymkitap.kz/book/44/
45,Бальзак,Стефан Цвейг,4200 тг,657,Әлем әдебиеті,Жұмсақ,"Бальзак - әлемдегі ең көп оқылатын жазушылардың бірі. Одан кейін де шыққан Еуропаның мықты жазушылары осы Бальзактың шәкірті болып есептеледі. Стефан Цвейгтің қолыңыздағы кітабы – оның шығармашылық психологиясын түсінуге, әрі ғұмыр тарихын да жақыннан тануға көмектеседі.",https://qasymkitap.kz/book/45/
46,Екі дос,Иван Тургенев,1200 тг,91,Әлем әдебиеті,Жұмсақ,"Жазушының бұл шығармасы көпшілікке соншалық танымал болмаса да, жазушының өзі үшін ерекше маңызға ие болған. Себебі ол шығармашылық дәуірін екіге бөліп, «Аңшы жазбаларынан» кейін екінші – жаңа кезеңке өтуім керек деп есептеген. «Екі дос» – бірінші кезеңде жазылып, екінші кезеңде соңғы рет жөнделген. Араға он алты жыл салып, Тургенев осы шығармасына қайта оралған. Тәптіштей баяндалған, кейіпкерді Гогольдық дәстүрмен ашқан шығарма қазақшаға да сәтті аударылған.",https://qasymkitap.kz/book/46/
47,Дворян ұясы,Иван Тургенев,2300 тг,234,Әлем әдебиеті,Жұмсақ,"Достаевский бұл шығарманы оқыған соң, Пушкиннің Татьянасынан кейін орыс әдебиетінен көрінбей кеткен әйел образын осы романнан көрдім деп баға берген екен. Бірақ оқыған адам тек Лизаның образына ғана емес, жазушы әбден зерттеп, танып барып жазған әр кейіпкерге таңғалады. «Дворян ұясы» – ешкімге еліктемей, таза орысша жазады деп бағаланатын Тургеневтің негізгі шығармаларының бірі. Оның үстіне, орыс жазушыларының ішінде Тургеневті өзіне ерекше жақын тұтқан Мұхтар Әуезов аударғанын қоссаңыз, қолыңыздағы кітаптың қадірі одан сайын арта түседі.",https://qasymkitap.kz/book/47/
